City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Lorengau,PG,2020-12-30 00:00:46,-2.02,147.27,86.32,61,19,5.59
129,Bendigo,AU,2020-12-30 00:00:46,-36.77,144.28,70.0,52,66,5.68
130,Wangaratta,AU,2020-12-30 00:00:47,-36.37,146.33,79.0,38,1,5.82
131,Tevriz,RU,2020-12-30 00:00:47,57.51,72.4,-12.42,89,100,5.86
132,Buala,SB,2020-12-30 00:00:48,-8.14,159.59,84.31,70,90,7.56
133,Mancora,PE,2020-12-30 00:00:48,-4.11,-81.05,75.94,65,30,19.84
134,High Level,CA,2020-12-30 00:00:49,58.52,-117.14,-5.8,83,75,2.24
135,Piacabucu,BR,2020-12-30 00:00:49,-10.41,-36.43,76.69,75,80,8.81
136,Puerto Carreno,CO,2020-12-30 00:00:50,6.19,-67.49,77.94,83,84,6.44
137,Yuci,CN,2020-12-30 00:00:50,37.68,112.73,3.2,31,0,11.18
138,Avarua,CK,2020-12-30 00:00:50,-21.21,-159.78,82.4,83,47,6.93
139,Victoria,HK,2020-12-30 00:00:50,22.29,114.16,57.0,61,0,3.0
140,Christchurch,NZ,2020-12-29 23:55:51,-43.53,172.63,64.0,67,60,12.75
141,Beringovskiy,RU,2020-12-30 00:00:51,63.05,179.32,21.87,98,100,12.62
142,Lata,PT,2020-12-30 00:00:51,40.16,-8.33,42.01,100,40,4.7
143,Saldanha,ZA,2020-12-30 00:00:52,-33.01,17.94,59.0,72,0,3.36
144,Broken Hill,AU,2020-12-30 00:00:52,-31.95,141.43,71.6,28,69,12.75
145,Campbell River,CA,2020-12-30 00:00:52,50.02,-125.24,41.0,100,75,10.29
146,Swarzedz,PL,2020-12-30 00:00:53,52.41,17.09,37.0,86,0,6.93
147,Grindavik,IS,2020-12-30 00:00:53,63.84,-22.43,32.0,81,75,5.82
148,San Jose,US,2020-12-30 00:00:53,37.34,-121.89,60.8,26,75,5.82
149,Banda Aceh,ID,2020-12-30 00:00:54,5.56,95.32,77.47,83,45,9.73
150,Marshall,US,2020-12-29 23:56:29,34.38,-86.33,50.0,53,1,4.7
151,Okhotsk,RU,2020-12-30 00:00:54,59.38,143.3,-6.95,84,100,12.39
152,Albina,SR,2020-12-30 00:00:55,5.5,-54.05,73.87,96,63,2.08
153,Torbay,CA,2020-12-30 00:00:55,47.67,-52.73,36.0,100,90,10.29
154,Flinders,AU,2020-12-30 00:00:55,-34.58,150.86,70.0,80,97,1.99
155,Octeville,FR,2020-12-30 00:00:56,49.63,-1.64,43.0,80,75,12.75
156,Waingapu,ID,2020-12-30 00:00:56,-9.66,120.26,81.41,70,94,5.99
157,Itarema,BR,2020-12-30 00:00:56,-2.92,-39.92,80.17,76,22,16.6
158,Hamilton,US,2020-12-30 00:00:23,39.18,-84.53,36.0,51,90,10.29
159,San Jeronimo,PE,2020-12-30 00:00:58,-11.95,-75.28,54.45,71,93,3.78
160,Sabha,LY,2020-12-30 00:00:58,27.04,14.43,54.91,38,0,9.62
161,Aykhal,RU,2020-12-30 00:00:58,66.0,111.5,-14.8,75,90,8.95
162,San Andres,CO,2020-12-30 00:00:59,12.58,-81.7,80.6,83,40,6.93
163,Santiago,CL,2020-12-29 23:59:15,-33.46,-70.65,73.4,40,20,16.11
164,Eureka,US,2020-12-29 23:58:24,40.8,-124.16,54.0,73,68,4.79
165,Kavieng,PG,2020-12-30 00:00:59,-2.57,150.8,84.67,64,98,4.45
166,Atuona,PF,2020-12-30 00:00:59,-9.8,-139.03,78.91,73,0,13.94
167,Ahipara,NZ,2020-12-30 00:01:00,-35.17,173.17,67.77,55,86,9.86
168,The Valley,AI,2020-12-30 00:01:00,18.22,-63.06,79.0,78,20,8.05
169,Mehamn,NO,2020-12-30 00:01:01,71.04,27.85,29.68,94,91,11.5
170,Honningsvag,NO,2020-12-30 00:01:01,70.98,25.97,34.92,86,82,24.23
171,La Ronge,CA,2020-12-30 00:01:01,55.1,-105.28,12.2,85,65,2.24
172,Butaritari,KI,2020-12-30 00:01:02,3.07,172.79,81.54,81,97,19.75
173,Mahebourg,MU,2020-12-30 00:01:02,-20.41,57.7,77.0,78,40,11.41
174,Pekan,MY,2020-12-30 00:00:22,3.48,103.4,73.4,94,20,7.11
175,Aleksandrovka,UA,2020-12-30 00:01:03,46.84,32.76,48.02,90,88,10.74
176,Auki,SB,2020-12-30 00:01:04,-8.77,160.7,82.87,76,93,5.41
177,Leshukonskoye,RU,2020-12-30 00:01:04,64.9,45.76,5.99,93,100,5.86
178,Saint Anthony,US,2020-12-30 00:01:05,45.02,-93.22,21.99,85,90,9.17
179,Castro,BR,2020-12-30 00:00:46,-24.79,-50.01,66.31,94,99,2.08
180,Akyab,MM,2020-12-30 00:01:05,20.15,92.9,60.78,54,0,7.18
181,Handia,IN,2020-12-29 23:56:30,25.38,82.18,50.0,93,0,3.36
