City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Tessalit,ML,20.1986,1.0114,64.89,23,0,8.05,clear sky
330,Raudeberg,NO,61.9875,5.1352,34.0,85,0,7.78,clear sky
331,Coquimbo,CL,-29.9533,-71.3436,59.0,77,75,10.29,broken clouds
332,Kiunga,PG,-6.1219,141.2906,79.3,84,100,0.49,overcast clouds
333,Sao Francisco Do Sul,BR,-26.2433,-48.6381,73.0,91,100,14.0,overcast clouds
334,Nsanje,MW,-16.92,35.262,75.2,83,0,1.28,clear sky
335,Tilichiki,RU,60.4667,166.1,-18.44,88,10,8.59,clear sky
336,Pontian Kecil,MY,1.4801,103.3899,79.0,94,20,2.24,few clouds
337,Taoudenni,ML,22.6783,-3.9836,65.8,26,74,2.64,broken clouds
338,Troyes,FR,48.3333,4.0833,35.6,93,90,4.7,mist
339,Marabba,SD,12.35,32.1833,72.48,29,0,10.04,clear sky
340,Coihaique,CL,-45.5752,-72.0662,69.8,22,75,8.05,broken clouds
341,Muros,ES,42.7762,-9.0603,34.0,95,8,9.37,clear sky
342,Canutama,BR,-6.5339,-64.3831,75.94,86,85,1.19,overcast clouds
343,Bella Union,UY,-30.2752,-57.6007,79.52,47,1,4.5,clear sky
344,Bemidji,US,47.4736,-94.8803,24.8,79,1,5.82,clear sky
345,Inongo,CD,-1.95,18.2667,73.54,90,100,1.54,light rain
346,Luanda,AO,-8.8368,13.2343,76.64,84,88,9.06,overcast clouds
